Salário,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Experiência Profissional,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Estado,Linguagem Python,Linguagem R,Linguagem SQL,Linguagem C/C#/C++,PowerBI,Tableau
3500.0,Desenvolvedor/Engenheiro de Software,Média,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
7000.0,,Pequena,sim,de 2 a 3 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Paraná (PR),1,1,1,1,0,0
1000.0,Analista de Dados,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,,0,0,0,0,0,0
14000.0,,Média,sim,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Doutorado ou Phd,Química / Física,Setor Público,,0,1,1,0,0,0
7000.0,Outras,Pequena,não,de 2 a 3 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Paraná (PR),0,0,0,0,0,0
1500.0,Outras,Pequena,não,Menos de 1 ano,de 1 a 2 anos,Empregado (CTL),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Outras,,0,0,0,0,0,0
18000.0,,Pequena,sim,de 4 a 5 anos,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),1,1,1,0,1,1
10000.0,Cientista de Dados,Grande,não,Mais de 10 anos,de 2 a 3 anos,Empregado (CTL),Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças,Varejo,Rio de Janeiro (RJ),1,1,1,0,0,0
10000.0,Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Mais de 10 anos,Empregado (CTL),Mestrado,Outras Engenharias,Finanças ou Bancos,,0,0,0,0,0,0
7000.0,Engenheiro de Dados,Média,não,de 2 a 3 anos,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),1,0,1,0,0,0
3500.0,Analista de Dados,Pequena,não,Menos de 1 ano,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
3500.0,Outras,Média,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),Paraná (PR),0,0,0,0,0,0
10000.0,,Grande,sim,de 6 a 10 anos,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,Minas Gerais (MG),1,0,1,0,0,1
,,,,Menos de 1 ano,de 2 a 3 anos,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,São Paulo (SP),0,0,0,0,0,0
3500.0,Outras,Grande,não,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Outras Engenharias,Setor Alimentício,São Paulo (SP),0,0,0,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Pós-graduação,Outras Engenharias,,São Paulo (SP),1,1,1,0,0,0
,,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,Espírito Santo (ES),0,0,0,0,0,0
,,,,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,Rio de Janeiro (RJ),1,1,1,0,1,0
5000.0,Engenheiro de Dados,Média,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,1,0,1,0,0,1
5000.0,Desenvolvedor/Engenheiro de Software,Grande,não,de 1 a 2 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,,0,0,0,0,0,0
,,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,Minas Gerais (MG),0,0,0,0,0,0
10000.0,,Grande,sim,de 6 a 10 anos,de 6 a 10 anos,Empregado (CTL),Mestrado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,São Paulo (SP),0,1,1,0,0,1
2500.0,Outras,Pequena,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Outras,São Paulo (SP),0,0,0,0,0,0
2500.0,Outras,Média,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Outras,Educação,,0,0,0,0,0,0
2500.0,Outras,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Pós-graduação,Outras,Educação,,0,0,0,0,0,0
5000.0,Analista de BI,Grande,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Pós-graduação,Outras,Indústria (Manufatura),,0,0,0,0,0,0
10000.0,Cientista de Dados,Grande,não,de 1 a 2 anos,de 1 a 2 anos,Empregado (CTL),Mestrado,Química / Física,Varejo,São Paulo (SP),1,1,1,0,1,0
14000.0,,Pequena,sim,de 2 a 3 anos,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Marketing,,1,0,1,0,1,0
,,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Doutorado ou Phd,Química / Física,,Minas Gerais (MG),0,0,0,0,0,0
2500.0,Outras,Média,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Minas Gerais (MG),1,0,1,0,0,0
2500.0,,Pequena,sim,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Área da Saúde,Minas Gerais (MG),1,0,1,0,0,0
14000.0,,Grande,sim,de 1 a 2 anos,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,São Paulo (SP),0,0,0,0,0,0
,,,,de 1 a 2 anos,de 1 a 2 anos,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,Minas Gerais (MG),0,0,0,0,0,0
5000.0,,Média,sim,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Marketing,Minas Gerais (MG),0,0,0,0,0,0
